caco3_flow_rate [kmol/hr],calciner_temp [Deg C],pellet_moisture_frac,air_mol_flow_rate [kmol/hr],RH_air,DAC_column_height [m],pellet_diameter [mm],DAC_ambient_temp [Deg C],e_voidage,sim_index,Simulation_status,Failure_reason,Heat_duty[cal/sec],Brake_power[kW],calcium_hydroxide_pellet[kmol_per_hr],SCM_conversion_fraction,Ca(OH)2_conversion,mass_flow_co2_in[kg/hr],mass_flow_co2_out[kg/hr],DAC_inlet_press[atm]
84.70917499807604,901.2578586266736,0.466535757441012,8617.748085780677,0.2012004299324196,6.072259011398745,5.255450164301629,24.738332851904392,0.4318388992364451,47.0,Success,,1249702.327145352,3124.3178,171.390494,0.01606769351626304,0.0005600081422493934,129.933354,127.845625,1.39891992032107
43.02607138683821,893.8270192608006,0.4901653926501853,7195.996759798692,0.4388182373241414,7.884962928262057,3.146612781234869,29.328272404238824,0.3719226244454762,48.0,Success,,632406.6103861791,8582.87778,87.2348441,0.0550786048751778,0.003779396808393347,129.933354,122.776806,2.3085915201453564
14.313867968834632,893.1781115768035,0.25773921029919,7501.325893179423,0.3278473420383408,6.506525597214465,3.2608566199728317,25.77124090050024,0.3543076082754611,49.0,Success,,210320.1050849173,8119.87002,25.5728423,0.028777905707822512,0.005935720349237691,129.933354,126.194144,2.21844171015626
15.619069725090805,943.2426829611982,0.3958006270651861,8290.594313006504,0.8526605665412188,4.00940745540007,5.904636240092936,24.560221073387492,0.3550196290046962,50.0,Success,,235263.7584155563,3346.82418,30.9764352,0.022405147887791275,0.004235102309963542,129.933354,127.022178,1.429861615058767
38.281401097727056,910.150595646366,0.3375315376230915,8732.82541008444,0.6183262962672621,8.997088950052483,3.783182836615504,16.31865727758422,0.3623690368718458,51.0,Success,,567265.9436698698,8782.35508,73.4756903,0.06775423962911098,0.005225404387494198,129.933354,121.129818,2.3482283233973384
68.723543905416,894.063180759721,0.337016531385606,7366.410602310031,0.5450042054354926,8.886175589555585,4.807826929337358,41.99168987444288,0.4396883724351199,52.0,Success,,1010232.9590219997,4828.04051,131.857682,0.042919270586773174,0.0018438179560169245,129.933354,124.356709,1.6484582576738442
8.315414711846836,932.5653838663228,0.1128315319059422,8851.98403071013,0.7405689974351295,2.934277494331199,1.139467995857649,35.50810745906516,0.3593255999959857,53.0,Success,,124595.37026740678,10551.5652,11.7377717,0.08764311436608185,0.03111753184213166,129.933354,118.54559,2.721445537042114
30.52268854169676,898.7149676617344,0.3160839944819046,8251.69859654467,0.1125803620501015,2.802880421509263,1.592488940652177,39.48228506858662,0.4231102334343649,54.0,Success,,449725.9613837082,4849.16067,57.6516311,0.02647664929065853,0.002561011288096042,129.933354,126.493154,1.6517376754833606
57.20257389414366,938.3037408257176,0.2031529948941604,8437.526077573726,0.4887180078221042,3.170336044366964,5.305061805060347,25.01124389461922,0.4130451242795288,55.0,Success,,859529.9562702364,2436.72016,95.2757014,0.015258327178424631,0.0007875218397893193,129.933354,127.950788,1.306327412168755
60.14143078554513,898.5200070685038,0.3587349974442864,7673.022941159373,0.6967315333479873,3.0445066268008936,3.567854276604214,16.91340018515347,0.3805404029166448,56.0,Success,,886046.8105406519,3778.8037,117.025394,0.039106925689428744,0.0019197787249827275,129.933354,124.85206,1.4913255176898323
89.26667446687937,918.2908656341544,0.3403837749996943,7608.520193873087,0.2994598599514726,8.797152594916327,3.196240120797633,37.66754869026615,0.4423297944024371,57.0,Success,,1328137.0509339797,6082.52153,171.671823,0.04614110720424694,0.0015260540295824014,129.933354,123.938085,1.8514740605629767
9.477642522353854,908.1854087050212,0.4107692248635098,8124.79105570713,0.1145756878684356,1.441855290678861,3.1101267959483883,22.546064686093068,0.3742102122682576,58.0,Success,,140305.54577812165,2096.82649,18.9093094,0.005896383886546009,0.0018367780518008267,129.933354,129.167217,1.2622149043890178
16.684533086617293,927.0152086348093,0.1769650910131238,8441.798677009136,0.2860297762482893,9.480249277521176,5.144710221344281,19.30456617633064,0.4204694268826772,59.0,Failure,"(-2147352567, 'Exception occurred.', (14, 'VASetValue (see errcode)', 'Invalid number. -NAN(INE). is not a valid real', None, 0, 0), None)",,,,,,,,
56.04184760431369,908.842401667562,0.2885658351100938,7878.19941515577,0.4155333848083137,7.0508779904370105,4.511851942200719,31.11599865590056,0.3772949699842913,60.0,Success,,829905.9253392803,6283.64021,103.34574,0.033710288102827494,0.0017759113130857366,129.933354,125.553263,1.885608598980446
38.73071908400396,915.8289458035896,0.4586201792379855,7866.943769723217,0.2724311973657045,1.5723619619993014,3.817123398704801,26.828398381900517,0.4009554365870544,61.0,Success,,575544.5834186843,1777.35018,78.2688006,0.006412184278863529,0.0004887892984764646,129.933354,129.100197,1.2217327618796745
